state,feature
Alabama,"1. Southern Vowel Shift: One key feature of Alabama English is the Southern Vowel Shift, which involves changes in vowel pronunciation. For example, the short ""i"" sound in words like ""hit"" is pronounced more like ""heh-yut"" or ""heh-it."""
Alabama,"2. Rhoticity: Alabama English is generally characterized by rhoticity, meaning that the ""r"" sound is maintained at the end of words and before consonants. This differs from non-rhotic varieties of English, where the ""r"" sound is often dropped."
Alabama,"3. ""Monophthongization"" of Diphthongs: Alabama English exhibits a phenomenon known as ""monophthongization,"" particularly with diphthongs like the ""ah"" sound in words like ""ride"" or ""time."" Instead of the diphthong sound, it is pronounced as a single vowel, such as ""ah"" or ""a."""
Alabama,"4. Non-Standard Grammar: Another key feature of Alabama English is the use of non-standard grammar. This can include features like double negatives, dropping of the ""to be"" verb in the present tense, or the use of ""y'all"" as the second person plural pronoun."
Alabama,"5. Vocabulary and Phrases: Alabama English also has its own unique vocabulary and phrases. Words like ""fixin' to"" (meaning ""about to"") or ""bless your heart"" (a Southern expression with various meanings) are commonly used. Additionally, certain terms, such as ""Co-Cola"" for any type of soda or ""buggy"" for shopping cart, are unique to Alabama English."
Alaska,"1. Vowel Shift: One key linguistic feature of Alaska English is the vowel shift, where certain vowel sounds may undergo changes in pronunciation. For example, the vowel in words like ""coffee"" and ""dog"" is often pronounced with a more centralized sound, akin to a short ""a"" or even a schwa sound. Similarly, the ""oh"" sound in words like ""boat"" may be pronounced with a slightly more rounded quality."
Alaska,"2. Glottal Stop: Another prominent feature of Alaska English is the use of the glottal stop. This is when the sound represented by the letter ""t"" is replaced by a momentary closure of the vocal cords. For example, in words like ""bottle"" or ""button,"" the ""t"" sound may be pronounced as a glottal stop."
Alaska,"3. Intonation and Pitch: Alaskan English tends to have a distinctive intonation pattern and pitch. Speakers often use a rising intonation at the end of statements, which can give a questioning or uncertain tone, even when making a definitive statement. Additionally, the pitch range in Alaska English may be higher compared to other dialects, possibly influenced by Indigenous languages of the region."
Alaska,"4. Lexical Borrowings: Alaska English incorporates words and phrases from Alaska Native languages, as well as borrowing terms from Russian, due to the region's historical and cultural influences. For example, words like ""muktuk"" (whale blubber), ""tundra,"" or ""cheechako"" (newcomer) are used in everyday speech."
Alaska,"5. Idiomatic Expressions: Alaska English also has unique idiomatic expressions and vocabulary that reflect the harsh environment, cultural practices, and regional characteristics. For example, phrases like ""break-up"" (referring to the spring thaw), ""bush"" (referring to remote areas outside of urban centers), or ""subsistence hunting/fishing"" (referring to traditional, non-commercial hunting or fishing for food) are commonly used in Alaska English."
Arizona,"1. Vowel merger: One distinctive feature of Arizona English is the merger of certain vowel sounds. For example, the ""cot"" and ""caught"" vowels are often pronounced the same way, resulting in words like ""caught"" and ""cot"" sounding similar or identical."
Arizona,"2. Monophthongal vowels: Arizona English exhibits a tendency towards monophthongization, where diphthongs are simplified into single vowel sounds. For instance, the diphthong /aɪ/ in words like ""ride"" may be pronounced as a single vowel sound, like /a/ or /ɑ/."
Arizona,"3. Strut-lot split: In many varieties of Arizona English, there is a distinction between the vowels in words like ""strut"" and ""lot."" This means that the vowel in ""strut"" is pronounced with a short, central sound, while the vowel in ""lot"" is pronounced with a longer, lower back vowel."
Arizona,"4. Postvocalic /r/ deletion: In some Arizona English dialects, the /r/ sound is often deleted or reduced when it appears after a vowel and before a consonant. This can result in words like ""car"" being pronounced as ""cah"" or ""butter"" as ""butta."""
Arizona,"5. Lexical borrowings from Spanish: Due to the proximity to the Mexican border and the presence of a significant Hispanic population, Arizona English incorporates numerous Spanish loanwords and phrases into everyday speech. This includes terms like ""adobe,"" ""burrito,"" ""fiesta,"" and various regional culinary expressions."
Arkansas,"1. Pronunciation of the vowel in ""cot"" and ""caught"": In Arkansas English, the vowel sounds in words like ""cot"" and ""caught"" are often merged and pronounced the same way. This linguistic feature, known as the cot-caught merger, is common in many southern dialects."
Arkansas,"2. Non-rhoticity: Like in other southern dialects, Arkansas English is non-rhotic, which means that the ""r"" sound is not pronounced at the end of words or before consonants. For example, the word ""car"" may be pronounced more like ""cah"" or ""ca""."
Arkansas,"3. Monophthongization of the diphthong in ""ride"": Arkansas English often displays monophthongization, where diphthongs (two vowel sounds pronounced together) are reduced to a single vowel sound. The diphthong in words like ""ride"" may be pronounced as a single elongated vowel. "
Arkansas,"4. Use of the term ""fixin' to"": The phrase ""fixin' to"" is commonly used in Arkansas English as a substitute for ""about to"" or ""getting ready to."" For example, ""I'm fixin' to go to the store"" means ""I'm about to go to the store."""
Arkansas,"5. Vocabulary and expressions: Arkansas English has a distinct vocabulary and expressions that set it apart from other dialects. Phrases like ""bless your heart"" (used to show sympathy or concern), ""howdy"" (a greeting), and ""sloppy"" (referring to a loose sandwich, particularly a Burger) are commonly used in Arkansas English. Additionally, local terms like ""holler"" (a small valley) or ""haint"" (a ghost) may be part of the dialect."
California,"1. Vowel shifts: California English is characterized by several vowel shifts, including the ""California vowel shift"" where certain vowels are pronounced differently compared to other standard varieties of English. For example, the vowel sounds in words like ""cot"" and ""caught"" may merge, resulting in a pronunciation similar to ""cot"" for both words."
