state,feature
Alabama,"1. Southern Vowel Shift: Alabama English exhibits the Southern vowel shift, which involves changes in the pronunciation of certain vowel sounds. For example, the vowel /aɪ/ (as in ""ride"") is often pronounced as /aː/ (as in ""rod"") in words like ""mice"" or ""right."""
Alabama,"2. Rhoticity: Alabama English is rhotic, meaning that the ""r"" sound is typically pronounced in all positions, including at the end of words. This differs from some other dialects, such as General American English, where the ""r"" is often dropped in certain contexts."
Alabama,"3. Monophthongization of Diphthongs: Alabama English exhibits a tendency to simplify diphthongs into monophthongs. For instance, the diphthong /aɪ/ (as in ""time"") is often pronounced as a long monophthong /aː/ in words like ""five"" or ""ride""."
Alabama,"4. Yod-Dropping: The pronunciation of the consonant cluster ""t + r"" as /t/ is a feature of Alabama English. For example, words like ""tree"" or ""try"" are pronounced as ""tee"" or ""ty"", respectively."
Alabama,"5. High Rising Terminal (HRT): The High Rising Terminal is a rising intonation pattern, often associated with a question-like inflection, that occurs at the end of statements. This feature is commonly found in Alabama English, where speakers may add a rising tone to the end of declarative sentences, as in ""I'm going to the store?"""
Alaska,"1. Phonological features: Alaska English often exhibits a distinct pronunciation pattern. Some common features include the reduction of certain vowel sounds, like the merging of the vowel sounds in words like ""cot"" and ""caught"" or the pronunciation of the ""r"" sound at the end of words."
Alaska,"2. Vocabulary: Alaska English incorporates several vocabulary items that are unique to the region. This includes words from indigenous languages such as Inupiaq, Yup'ik, or Aleut. Additionally, certain terms related to the local environment and culture, such as ""mushing"" (dog sledding) or ""gumboots"" (rubber boots), are commonly used in Alaska English."
Alaska,"3. Idiomatic expressions: Like any regional dialect, Alaska English has its own set of idiomatic expressions that may not be commonly used elsewhere. These expressions often reflect the unique Alaskan lifestyle, such as ""breakup"" (the melting of winter ice) or ""bush"" (referring to rural or remote areas outside of major cities)."
Alaska,"4. Syntax: Alaska English may display distinct sentence structure and word order patterns compared to other varieties of English. For instance, it is not uncommon to hear questions phrased as statements, such as ""You going to town?"" instead of ""Are you going to town?"""
Alaska,"5. Loanwords: Given Alaska's history and multicultural context, Alaska English incorporates loanwords from a variety of languages. For example, words from Russian, such as ""banya"" (steam bath) or ""pribalt"" (a person of Russian or Baltic descent), have found their way into the Alaskan lexicon. Similarly, loanwords from Native American languages, like ""kayak"" or ""igloo,"" are also widely used in Alaska English."
Arizona,"1. Vowel Merger: In Arizona English, there is a tendency to merge certain vowel sounds. For example, the vowels in words like ""cot"" and ""caught"" are often pronounced the same way, resulting in a merger of the /ɑ/ and /ɔ/ sounds. This is known as the cot-caught merger."
Arizona,"2. Fronting of /aʊ/: Another characteristic of Arizona English is the fronting of the /aʊ/ diphthong. Instead of pronouncing words like ""house"" with a back and rounded vowel sound, Arizonans tend to pronounce it with a more fronted sound, making it sound closer to ""hoes""."
Arizona,"3. Flapping of /t/ and /d/: Arizonans often exhibit the flapping phenomenon, where the /t/ and /d/ sounds at the beginning and middle of words are pronounced with a quick, flapped /ɾ/ sound. For instance, words like ""butter"" may sound more like ""budder"" in Arizona English."
Arizona,"4. Use of ""y'all"" or ""you guys"": In Arizona English, it is common for speakers to use the inclusive plural pronouns ""y'all"" or ""you guys"" when referring to a group of people. This usage reflects a blend of different regional influences, including southern and western dialects."
Arizona,"5. Syllable-final /r/ deletion: Similar to other western dialects, Arizona English often involves the deletion of the /r/ sound at the end of syllables. For example, words like ""car"" or ""beer"" may be pronounced as ""cah"" and ""bee,"" respectively. This is known as syllable-final /r/ deletion."
Arkansas,"1. Vowel Shifts: The Arkansas English dialect is characterized by significant vowel shifts, particularly in the pronunciation of the /a/ and /o/ sounds. For example, words like ""cot"" and ""caught"" may be pronounced with the same vowel sound, often closer to the /a/ sound."
Arkansas,"2. Southern Drawl: Like many Southern dialects, Arkansas English is characterized by a distinct southern drawl, which involves elongating and adding a breathy quality to vowel sounds."
Arkansas,"3. Rhoticity: Unlike some Southern dialects, Arkansas English is generally rhotic, meaning that the /r/ sound is pronounced at the end of words and before consonants. For example, ""car"" and ""far"" are pronounced with a distinct /r/ sound."
Arkansas,"4. Grammar: Arkansas English displays certain unique grammatical features. For instance, the use of double modals, such as ""might could"" or ""might would,"" is common in colloquial speech. There may also be a tendency to use the past tense form ""done"" instead of ""did,"" such as in ""I done told you."""
Arkansas,"5. Lexical Items: Arkansas English contains regional vocabulary, with many words having roots in Southern and Ozark Mountain culture. Some examples include ""holler"" (a narrow valley), ""bless your heart"" (a Southern expression of empathy or pity), and ""fixin' to"" (meaning ""about to"" or ""planning on"")."
Arkansas,It's important to note that these features can vary among different speakers in Arkansas and that not all individuals in the state will exhibit every feature listed.
California,"1. Vowel Shift: California English exhibits a vowel shift known as the California Vowel Shift, where certain vowel sounds are pronounced differently compared to other English varieties. For example, the ""a"" sound in words like ""cat"" may be pronounced more like ""a-e"" or ""ae""."
California,"2. Vocal Fry: California English is known for its use of vocal fry, a creaky or low-pitched sound that occurs when speaking. This feature is especially common among younger speakers and is characterized by a crackling or popping quality in the voice."
California,"3. Valleyspeak or Upspeak: California English is associated with the use of a rising intonation at the end of statements, also known as valleyspeak or upspeak. This linguistic feature has become synonymous with the stereotype of Californians ending their sentences as if they were asking a question."
California,"4. Use of Surfer/Skater Slang: Due to the influence of California's surfing and skateboarding culture, California English incorporates various surfers and skaters slang terms. Some examples include ""dude,"" ""gnarly,"" ""rad,"" and ""shred."""
California,"5. Use of Spanglish: California English, particularly in areas with a high Hispanic population, showcases the blending of English and Spanish known as Spanglish. It can involve the use of Spanish words or phrases interspersed within English sentences, or the fusion of English grammar with Spanish vocabulary."
Colorado,"1. The cot-caught merger: In Colorado English, like many Western dialects, the vowels in words like ""cot"" and ""caught"" are often merged, so they sound alike. Instead of distinct pronunciations, both words may be pronounced with the vowel sound of ""cot""."
Colorado,"2. The pin-pen merger: Similar to other Western dialects, Colorado English tends to have a merger of the vowels in words like ""pin"" and ""pen"". This means that the distinction between the vowel sounds in these two words (i.e., the short ""i"" sound in ""pin"" and the short ""e"" sound in ""pen"") is often lost, and both are pronounced with the same vowel sound."
Colorado,"3. Monophthongization of the diphthong /aɪ/: Colorado English exhibits a tendency to simplify the diphthong /aɪ/ (as in ""price"" or ""ride"") into a monophthong, resulting in a pronunciation like [a:]. This is commonly referred to as the ""low-back merger""."
Colorado,"4. Vocabulary and idiomatic expressions: Colorado English incorporates unique vocabulary and idiomatic expressions that may differ from other regions. For example, specific terms related to outdoor activities and mountain region culture, such as ""14er"" (referring to a peak exceeding 14,000 feet in elevation) or ""powder day"" (referring to a snowfall suitable for skiing/snowboarding)."
Colorado,"5. Occasional retention of older English features: Some Colorado English speakers may retain certain archaic features of English, such as pronouncing ""r"" sounds more prominently in words like ""horse"" or ""car"", which is sometimes associated with accents influenced by earlier English dialects. These retention patterns can vary among individuals."
Connecticut,"1. R-dropping: A characteristic feature of Connecticut English is the tendency to drop the /r/ sound at the end of words or syllables. For example, ""car"" may be pronounced as ""caw"" and ""teacher"" as ""teachah."""
Connecticut,"2. Non-rhoticity: Following the pattern of many New England dialects, Connecticut English is non-rhotic, meaning that the /r/ sound is typically not pronounced before a consonant or at the end of a word. This leads to words like ""party"" being pronounced as ""pah-tee."""
Connecticut,"3. ""Ahn"" vowel: Connecticut English exhibits a unique vowel sound in words like ""orange"" and ""horrible,"" where the /ɔ/ sound typically found in standard American English is pronounced as an ""ahn"" sound, similar to the British English pronunciation. So, ""orange"" may be pronounced as ""ahnge"" and ""horrible"" as ""hahn-rible."""
Connecticut,"4. Flattened vowel sounds: Some vowel sounds in Connecticut English can be pronounced with a slightly flattened quality compared to standard American English. For instance, the ""o"" sound in words like ""dog"" may be pronounced as a shorter and flatter sound, more like ""dahg."""
Connecticut,"5. Pronunciation of ""th"": In Connecticut English, the /θ/ and /ð/ sounds, typically represented by the ""th"" letters, may be pronounced differently. The ""th"" sound in words like ""thin"" may be pronounced as a ""t"" sound, so it sounds more like ""tin,"" and the ""th"" sound in words like ""that"" may be pronounced as a ""d"" sound, making it closer to ""dat."""
Delaware,"1. Vowel Pronunciation: Delaware English exhibits several distinct vowel pronunciations compared to other varieties of English. For example, the vowel sound in words like ""cot"" is often realized as a rounded vowel [ɔ], so that ""cot"" sounds more like ""caht."""
Delaware,"2. Non-rhoticity: Delaware English is non-rhotic, meaning the ""r"" sound is not pronounced at the ends of words or before consonants. So, words like ""car"" and ""far"" are pronounced without the final ""r,"" sounding more like ""cah"" and ""fah."""
Delaware,"3. Vocabulary: Delaware English has a number of unique regional words and expressions not commonly found in other varieties of English. For instance, terms like ""wooder"" (water), ""jawn"" (used for referring to a person, place, or thing), and ""hoagie"" (a type of sandwich) are commonly used in Delaware."
Delaware,"4. Midland Grammar: Delaware English is influenced by the grammatical patterns of the Midland dialect, which is characteristic of the central region of the United States. This includes features like using ""to be"" as an auxiliary verb (""The car needs washed"") and double modals (""might could"" instead of ""might be able to"")."
