state,feature
Alabama,"1. Rhoticity: Alabama English is typically characterized by the pronunciation of the /r/ sound at the end of words and before consonants. This means that words like ""car"" or ""store"" would be pronounced with a strong /r/ sound, unlike in some other dialects where the /r/ is often dropped."
Alabama,"2. Southern Vowel Shift: Alabama English often exhibits the Southern Vowel Shift, a phenomenon that affects the pronunciation of several vowel sounds, particularly the short front vowels. For example, words like ""pen"" and ""pin"" may be pronounced similarly, with a centralized /ɪ/ sound."
Alabama,"3. Monophthongization of Diphthongs: Alabama English commonly features monophthongization, which refers to the pronunciation of diphthongs as single vowel sounds. For instance, words like ""ride"" or ""time"" may be pronounced as ""r"" and ""tahm"" respectively, with a long single vowel sound."
Alabama,"4. T-glottaling: In Alabama English, the /t/ sound at the end of words or before consonants is often pronounced as a glottal stop, /ʔ/. For example, ""cat"" may be pronounced as ""cahʔ""."
Alabama,"5. Vocabulary: Alabama English has certain unique vocabulary items and expressions, influenced by Southern dialect features. This includes terms like ""ya'll"" (you all), ""fixin' to"" (about to), or ""bless your heart"" (often used in a sympathetic or sometimes condescending manner). These specific lexical choices contribute to the distinctiveness of Alabama English."
Alaska,"1. R-dropping: Many speakers of Alaska English have a tendency to drop the ""r"" sound at the end of words or syllables. For example, ""car"" may be pronounced as ""caw"" and ""water"" as ""wawtuh."""
Alaska,"2. Vowel pronunciation: Alaska English often exhibits a unique vowel pronunciation, particularly in the way that the ""a"" sound is pronounced. It can be pronounced as a long ""a"" sound, similar to ""ay"" in words like ""day"" or ""bay,"" or as a flattened ""a"" sound, similar to the ""a"" in ""cat"" or ""pat."""
Alaska,"3. Lexical borrowing from indigenous languages: Alaska is home to a rich array of indigenous languages, and it is not uncommon for Alaskan English to incorporate vocabulary from these languages. Words such as ""muktuk"" (a traditional Inuit food) or ""qayaq"" (an Alaskan kayak) have been adopted into the lexicon."
Alaska,"4. T-glottalization: Similar to other dialects of English, Alaskan English speakers often glottalize the ""t"" sound that comes between vowels or at the end of words. This results in the replacement of the standard ""t"" sound with a glottal stop, represented by an apostrophe. For example, ""bottle"" may be pronounced as ""bo'le."""
Alaska,"5. Vocabulary related to the Alaskan environment: Given Alaska's unique geography and environment, it is common for Alaskan English to have terms and vocabulary related to its natural surroundings. Words such as ""bush"" (referring to rural, undeveloped areas), ""snowmachine"" (snowmobile), or ""salmonberry"" (a local berry), are examples of vocabulary specific to the region."
Arizona,"1. Vowel Shift: One key linguistic feature of Arizona English is the presence of the Northern Cities Vowel Shift. This vowel shift affects the pronunciation of certain vowels, such as the ""a"" sound in words like ""bat"" and ""cat"", which becomes more like ""ae"", as in ""bet"" and ""met"". This shift is commonly heard in Arizona English speakers."
Arizona,"2. Yod-Dropping: Another notable feature is yod-dropping, where the ""y"" sound in words like ""tune"" and ""suit"" is often reduced or completely dropped. Therefore, words like ""tuna"" and ""suit"" are pronounced as ""toona"" and ""soot"" in Arizona English."
Arizona,"3. Flapping: Flapping is a phonological process where the ""t"" and ""d"" sounds between vowel sounds are pronounced as a soft ""d"" sound. In Arizona English, this is commonly observed in words like ""butter"" and ""ladder"", which are pronounced as ""budder"" and ""ladder"" respectively."
Arizona,"4. Nasalization: Arizona English may exhibit nasalization, where certain vowel sounds are influenced by nearby nasal consonants such as ""m"" or ""n"". For example, the vowel in the word ""man"" can sound slightly nasalized in Arizona English."
