state,feature
Alabama,"1. Southern Vowel Shift: One prominent feature of Alabama English is the Southern Vowel Shift, which involves changes in vowel pronunciation. For example, the vowel sound in words like ""cot"" and ""caught"" may be merged, resulting in both words being pronounced as ""cot."""
Alabama,"2. Rhoticity: Alabama English is typically rhotic, meaning that the /r/ sound is pronounced in all contexts. This contrasts with non-rhotic varieties of English, where the /r/ sound is often dropped at the end of words or before consonants."
Alabama,"3. Monophthongization of diphthongs: Another characteristic of Alabama English is the monophthongization of diphthongs, where two vowel sounds merge into a single sound. For instance, the diphthong in words like ""ride"" and ""time"" may be pronounced as a single vowel sound, resulting in both words being pronounced as ""rhad"" and ""tahm."""
Alabama,"4. Yat/Yet merger: In some areas of Alabama, particularly in the coastal region, the merger of the sounds /æ/ and /ɛ/ occurs. This means that words like ""cat"" and ""kits"" may be pronounced with the same vowel sound, leading both words to sound like ""kæt."""
Alabama,"5. Vocabulary and Phrases: Alabama English also encompasses various vocabulary and phrases specific to the region. For example, terms like ""y'all"" (you all) and ""bless your heart"" (a polite phrase used to express concern or sympathy) are commonly used in everyday conversation. Additionally, the use of double modals like ""might could"" or ""might should"" is also common in Alabama English."
Alaska,"1. Vowel raising: One of the prominent features of Alaska English is the pronunciation of certain vowels, particularly the ""a"" and ""o"" sounds, being raised. For example, words like ""cat"" and ""hot"" may sound more like ""ket"" and ""het"" respectively."
Alaska,"2. Deletion of final consonants: Another common feature of Alaska English is the omission or deletion of final consonant sounds in words, especially when they occur in unstressed syllables. For instance, the word ""boat"" may be pronounced as ""bo"" or ""boa."""
Alaska,"3. Presence of Yupik and Inupiaq loanwords: Given the influence of Native Alaskan languages like Yupik and Inupiaq, Alaska English incorporates several loanwords from these indigenous languages. Words like ""qayaq"" (kayak), ""umiak"" (a type of boat), and ""angun"" (husband) are commonly used in the region."
Alaska,"4. Vocabulary related to hunting and fishing: Due to the strong presence of subsistence activities like hunting and fishing in Alaska, Alaska English includes a distinctive vocabulary related to these practices. Terms like ""mushing"" (driving a sled pulled by dogs), ""salmonberry"" (a local edible fruit), and ""muktuk"" (whale or seal blubber) are examples of such vocabulary."
Alaska,"5. Influence of Russian: Alaska's history as a Russian colony has left a linguistic impact on Alaska English. Russian loanwords and pronunciation features occasionally appear in local speech. For instance, ""banya"" (a steam bath) and ""three liner"" (a type of boat) are examples of Russian-influenced vocabulary in Alaska English. Additionally, some speakers may exhibit Russian-influenced phonological features, such as pronouncing the ""v"" sound as a ""w"" sound."
Arizona,"1. Vowel Shift: One prominent feature of Arizona English is the presence of the Centralization Vowel Shift. This shift involves the centralization of certain vowel sounds, particularly the ""a"" and ""o"" sounds. For example, the traditional ""cot"" and ""caught"" vowels can merge towards a central vowel sound, making them sound more similar."
Arizona,"2. Palatalization: Another characteristic of Arizona English is the palatalization of certain consonant sounds. This can be observed in words like ""new,"" where the ""y"" sound can become more palatal, pronounced closer to the ""ee"" sound in ""see."""
Arizona,"3. Spanish Influence: Given its proximity to the Mexican border, Arizona English often incorporates Spanish loanwords, code-switching, or grammatical structures borrowed from Spanish. For instance, it is common to hear Arizonans use Spanish terms like ""hasta luego"" (see you later) or incorporate Spanish numbers and greetings in their conversations."
Arizona,"4. Western Diphthongization: The diphthongization of certain vowel sounds, particularly in words like ""ride"" or ""time,"" is another notable feature of Arizona English. These vowels can often become more complex by adding an extra ""y"" or ""w"" sound, resulting in pronunciations like ""ryde"" or ""twyme."""
Arizona,"5. Homespun Vocabulary: Arizona English has a distinctive vocabulary influenced by local culture and geography. Words like ""mesquite,"" ""cactus,"" or ""arroyo"" are commonly used to refer to local flora and terrain. Additionally, regional terms related to indigenous communities and historic events can be found, such as ""Apache,"" ""Navajo,"" or ""Geronimo."""
Arkansas,"1. Southern Vowel Shift: Arkansas English, like other Southern dialects, exhibits a Southern Vowel Shift. This means that certain vowel sounds are pronounced differently compared to Standard American English. For example, the vowel sound /aɪ/ as in ""ride"" is often pronounced closer to /ɔɪ/ as in ""roid."""
Arkansas,"2. Rhoticity: Arkansas English is typically rhotic, meaning that the /r/ sound is pronounced in all positions, including after vowels. This contrasts with non-rhotic dialects where the /r/ sound is dropped after vowels."
Arkansas,"3. Monophthongization of Diphthongs: In Arkansas English, diphthongs, such as /aɪ/ as in ""ride"" and /oʊ/ as in ""boat,"" tend to be monophthongized, meaning they become single vowel sounds. For example, ""ride"" might be pronounced as ""rod"" and ""boat"" as ""bot."""
Arkansas,"4. Nasalization: The nasalization of vowels is a feature found in Arkansas English. Vowels before nasal consonants like /n/ and /m/ often take on a nasal quality. For instance, ""pan"" may be pronounced closer to ""pæ̃n."""
Arkansas,"5. Vocabulary and Expressions: Arkansas English has distinct vocabulary and expressions that are characteristic of the area. Some examples include terms like ""y'all"" for the second person plural pronoun and expressions like ""fixin' to"" meaning ""getting ready to"" or ""about to."" These regionalisms contribute to the unique identity of Arkansas English speakers."
California,"1. Vowel shifts: California English is known for the California Vowel Shift, which involves various vowel changes. One such change is the ""cot-caught merger"", where the vowels in words like ""cot"" and ""caught"" are pronounced the same. Another vowel shift involves the ""low back merger"", where the vowels in words like ""cot"" and ""caught"" are both pronounced with a lower back vowel."
California,"2. Vocal fry: California English is known for the widespread use of vocal fry, which is a creaky or low pitch register that can be heard at the end of a sentence or when emphasizing certain words or phrases. This feature has become particularly associated with young California women and is often used to convey a laid-back or ""Valley girl"" style of speaking."
