state,n
ALABAMA,6
ALASKA,0
ARIZONA,0
ARKANSAS,5
CALIFORNIA,0
COLORADO,0
CONNECTICUT,0
DELAWARE,0
FLORIDA,4
GEORGIA,2
HAWAII,0
IDAHO,0
ILLINOIS,0
INDIANA,0
IOWA,0
KANSAS,0
KENTUCKY,6
LOUISIANA,0
MAINE,0
MARYLAND,0
MASSACHUSETTS,0
MICHIGAN,0
MINNESOTA,0
MISSISSIPPI,6
MISSOURI,0
MONTANA,0
NEBRASKA,0
NEVADA,0
NEW HAMPSHIRE,0
NEW JERSEY,0
NEW MEXICO,0
NEW YORK,0
NORTH CAROLINA,6
NORTH DAKOTA,0
OHIO,0
OKLAHOMA,3
OREGON,0
PENNSYLVANIA,0
RHODE ISLAND,0
SOUTH CAROLINA,4
SOUTH DAKOTA,0
TENNESSEE,7
TEXAS,1
UTAH,0
VERMONT,0
VIRGINIA,3
WASHINGTON,0
WEST VIRGINIA,0
WISCONSIN,0
WYOMING,0
