state,n
ALABAMA,0
ALASKA,0
ARIZONA,0
ARKANSAS,0
CALIFORNIA,0
COLORADO,0
CONNECTICUT,0
DELAWARE,0
FLORIDA,0
GEORGIA,0
HAWAII,0
IDAHO,0
ILLINOIS,6
INDIANA,3
IOWA,1
KANSAS,0
KENTUCKY,0
LOUISIANA,0
MAINE,0
MARYLAND,1
MASSACHUSETTS,0
MICHIGAN,7
MINNESOTA,1
MISSISSIPPI,0
MISSOURI,1
MONTANA,1
NEBRASKA,0
NEVADA,0
NEW HAMPSHIRE,4
NEW JERSEY,1
NEW MEXICO,0
NEW YORK,0
NORTH CAROLINA,0
NORTH DAKOTA,3
OHIO,5
OKLAHOMA,1
OREGON,0
PENNSYLVANIA,0
RHODE ISLAND,0
SOUTH CAROLINA,0
SOUTH DAKOTA,4
TENNESSEE,0
TEXAS,0
UTAH,0
VERMONT,2
VIRGINIA,0
WASHINGTON,0
WEST VIRGINIA,0
WISCONSIN,4
WYOMING,1
